"Año";"Periodo";"Lineal+Diferido"
"2019";"Enero";"247"
"2019";"Febrero";"240"
"2019";"Marzo";"233"
"2019";"Abril";"233"
"2019";"Mayo";"223"
"2019";"Junio";"215"
"2019";"Julio";"197"
"2019";"Agosto";"184"
"2019";"Septiembre";"211"
"2019";"Octubre";"219"
"2019";"Noviembre";"236"
"2019";"Diciembre";"230"
"2020";"Enero";"237"
"2020";"Febrero";"224"
"2020";"Marzo";"284"
"2020";"Abril";"302"
"2020";"Mayo";"260"
"2020";"Junio";"225"
"2020";"Julio";"197"
"2020";"Agosto";"191"
"2020";"Septiembre";"216"
"2020";"Octubre";"232"
"2020";"Noviembre";"249"
"2020";"Diciembre";"247"
"2021";"Enero";"259"
"2021";"Febrero";"247"
"2021";"Marzo";"233"
"2021";"Abril";"229"
"2021";"Mayo";"215"
;;
;;
"Métrica":"Lineal+Diferido"
"Fuente":"Barlovento Comunicación"
"Clasificación":""
"Unidad":"Minutos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-minutos-television-persona-dia-espana/b677099a-9e5c-4ff9-a1b2-f3cd8934e333"
"Titulo":"Evolución de los minutos de televisión por persona al día en España"
"Subtitulo":""
